mjd            flux     error
2457517.229270 0.626481 0.0183306
2457517.229332 0.951275 0.0210385
2457517.229394 1.20087 0.0237438
2457517.229456 1.32596 0.0240351
2457517.229518 1.38002 0.0243175
2457517.229580 1.42333 0.0248213
2457517.229642 1.27536 0.0241254
2457517.229704 1.05033 0.0224798
2457517.229766 0.821036 0.0204347
2457517.229827 0.921581 0.0212304
2457517.229889 1.26339 0.0239056
2457517.229951 1.42541 0.0270764
2457517.230013 1.56357 0.0281675
2457517.230075 1.55848 0.0293381
2457517.230137 1.56979 0.0290383
2457517.230199 1.56644 0.0291521
2457517.230261 1.38278 0.0256911
2457517.230323 1.15812 0.0238877
2457517.230385 0.864532 0.0211259
2457517.230447 0.680173 0.0198249
2457517.230509 0.554649 0.0185055
2457517.230571 0.442735 0.0177575
2457517.230632 0.59132 0.0187015
2457517.230694 0.952569 0.0216503
2457517.230756 1.17441 0.023467
2457517.230818 1.3494 0.0264032
2457517.230880 1.36623 0.0277836
2457517.230942 1.34644 0.0271747
2457517.231004 1.28548 0.0261778
2457517.231066 1.0205 0.0228331
2457517.231128 0.8235 0.0212839
2457517.231190 0.833162 0.0210584
2457517.231252 1.10165 0.0248755
2457517.231314 1.32173 0.0285903
2457517.231376 1.51353 0.0296318
2457517.231437 1.55508 0.0296108
2457517.231499 1.53558 0.0294253
2457517.231561 1.48524 0.0276836
2457517.231623 1.38335 0.0261264
2457517.231685 1.21032 0.0253934
2457517.231747 0.803624 0.0212647
